relative_time,DecibelSource,AccX,AccY,AccZ
9588,,2.98437237739563,,-11.731588363647461
9604,38.74363278858916,,,
9654,,2.232593059539795,-12.164938926696777,
9655,,,,-5.218162536621094
9684,40.8467924032326,,,
9721,,-5.3330841064453125,-9.443928718566895,-0.42018240690231323
9764,41.967256643265344,,,
9787,,,-9.865307807922363,
9788,,-1.4939818382263184,,3.220201253890991
9854,,,-6.647500991821289,
9855,,1.359906554222107,,8.725667953491211
9864,38.082665444503704,,,
9921,,5.105635166168213,-11.350910186767578,-1.8746598958969116
9944,37.404440239650455,,,
9987,,,-7.5884222984313965,
9988,,0.4800374507904053,,2.360682964324951
10024,36.89615283936384,,,
10054,,,-9.973047256469727,
10055,,-1.6496049165725708,,-2.0027496814727783
10104,36.98657233639558,,,
10121,,0.5063736438751221,-9.257181167602539,3.0550012588500977
10184,38.13471711745203,,,
10187,,1.1743559837341309,-10.758345603942871,
10188,,,,-0.05267243832349777
10254,,2.205059766769409,-11.349713325500488,
10255,,,,-0.7230489253997803
10265,39.825475902730844,,,
10321,,5.639542102813721,-11.681309700012207,-2.2685060501098633
10344,42.414489035685996,,,
10387,,,-11.536460876464844,
10388,,1.0965443849563599,,-1.9979612827301025
10424,38.1848963815813,,,
10454,,-4.811148166656494,-15.077485084533691,
10455,,,,5.704185485839844
10504,35.8048030920046,,,
10521,,1.8375498056411743,-10.864887237548828,0.7637503147125244
10584,41.73009266715031,,,
10587,,,-7.6351094245910645,
10588,,-0.5746083855628967,,1.6531962156295776
10654,,-2.9927520751953125,-3.870227098464966,2.3044190406799316
10664,40.95921596194289,,,
10721,,-1.8626888990402222,-3.141192674636841,1.0031704902648926
10744,38.44922126205319,,,
10788,,6.171054840087891,-19.932926177978516,-14.204798698425293
10824,38.30516368793863,,,
10854,,,-7.308300495147705,
10855,,0.0933738648891449,,-2.626439332962036
10904,38.27429045452359,,,
10921,,-7.939172744750977,-13.019668579101562,-2.1547815799713135
10984,41.20518260156564,,,
10987,,,-8.110358238220215,
10988,,-1.9033904075622559,,7.978677272796631
11054,,,-12.18528938293457,
11055,,2.169146776199341,,5.585672378540039
11084,39.86952885705247,,,
11121,,4.460397720336914,-8.188169479370117,0.11013327538967133
11164,34.78000102040758,,,
11187,,,-8.277952194213867,
11188,,-1.9955670833587646,,-0.5973533391952515
11244,35.95415820006993,,,
11254,,4.037821292877197,-10.186131477355957,-2.75812029838562
11321,,1.6352397203445435,-9.224859237670898,1.7764976024627686
11324,36.18625969392097,,,
11387,,,-11.318588256835938,
11388,,-1.6759412288665771,,1.3670891523361206
11404,37.591199737876664,,,
11454,,3.602076530456543,-11.18092155456543,
11455,,,,1.1216834783554077
11484,42.045444059027865,,,
11521,,5.720944881439209,-11.297040939331055,-2.9472622871398926
11564,38.18011720391382,,,
11587,,,-11.32577133178711,
11588,,2.5318682193756104,,-2.0470423698425293
11644,37.43168347563687,,,
11654,,-3.8774096965789795,-14.269442558288574,4.8051629066467285
11721,,3.1004912853240967,-10.437521934509277,-2.4444799423217773
11724,41.252195739708995,,,
