relative_time,AccX,AccY,AccZ
24587,,-14.7411003113,
24588,-5.1918263435,,5.1116204262
24644,,,
24654,-2.1835119724,-11.3497133255,0.2753331959
24721,2.0290858746,-7.0760631561,1.1947066784
24724,,,
24787,,-4.9057192802,
24788,-2.2589292526,,4.0078935623
24804,,,
24854,,-3.4440591335,
24855,-3.6715083122,,1.7693150043
24884,,,
24921,-0.2573766708,-12.6761007309,-8.7017259598
24964,,,
24987,,-12.0583972931,
24988,3.8019924164,,-7.3382282257
25044,,,
25054,-6.3362545967,-7.3478050232,2.7305870056
25121,-0.9971849918,-15.1337490082,-2.4217350483
25124,,,
25187,,-6.920440197,
25188,2.4073698521,,7.7608046532
25224,,,
25254,4.9057192802,-11.1114902496,-2.4636335373
25304,,,
25321,-1.702277422,-8.0373353958,0.475249052
25384,,,
25387,,-9.7515830994,
25388,0.3818751574,,-1.0031704903
25454,,-9.5444850922,
25455,1.4832079411,,2.3056161404
25464,,,
25521,0.9145850539,-9.994594574,-0.0095768068
25544,,,
25588,0.5087678432,-11.811794281,0.2849099934
25624,,,
25654,,-11.4897737503,
25655,4.7321395874,,-2.0985178947
25704,,,
25721,5.0625395775,-12.3600664139,-3.6367924213
25784,,,
25787,,-13.1345901489,
25788,-2.9664158821,,4.0952820778
25854,-4.2640733719,-11.6681423187,
25855,,,0.9935936928
25864,,,
25921,2.6922798157,-9.5624418259,-0.8128314614
25944,,,
25988,-1.770512104,-5.5150437355,4.4639892578
26024,,,
26054,,-4.8123455048,
26055,-3.7385458946,,1.4329297543
26104,,,
26121,-1.8231846094,-8.0074071884,
26184,,,
26187,,-14.131775856,
26188,4.0402154922,,-10.4650554657
26254,-3.9695863724,-5.5593361855,
26255,,,0.0897825658
26264,,,
26321,-0.9684545994,-16.1824092865,-4.3634324074
26344,,,
26387,,-5.440823555,
26388,0.9469067454,,9.6749687195
26444,,,
26454,,-13.1872625351,
26455,5.5760955811,,-0.6739677787
26521,-0.6117185354,-7.8170685768,1.0666168928
26524,,,
26588,-0.0502782352,-9.8904476166,-0.2980781198
26604,,,
26654,3.8977603912,-9.925163269,0.0945709646
26684,,,
26721,-0.1843535304,-10.1262760162,-0.0083797062
26764,,,
26788,1.6675615311,-11.1809215546,-0.0574608408
26844,,,
26854,3.2644939423,-11.0384674072,0.1663970202
26921,4.3239283562,-11.6609592438,-4.9117050171
26924,,,
26988,-1.6903064251,-12.1876840591,1.6065093279
27004,,,
27054,,-13.8456687927,
27055,-5.7784056664,,1.3934253454
27084,,,
27121,3.7062242031,-10.441113472,-0.4967968464
27164,,,
27187,-1.3048399687,-5.4001221657,4.3478703499
27244,,,
27254,-3.3458969593,-4.187458992,2.5318682194
27321,-1.1204863787,-6.4475851059,-1.215057373
27324,,,
27387,,-16.9748897552,
27388,4.9320554733,,-13.5703353882
27404,,,
27454,-2.0566191673,-3.6236243248,-1.5741876364
27484,,,
27521,-5.5653219223,-20.1053085327,-4.6890439987
27564,,,
27587,,-1.9608511925,
27588,-1.6376339197,,8.6358852386
27644,,,
27654,4.0737342834,-14.4322481155,
27655,,,3.2190041542
27721,0.8200140595,-7.6279268265,-0.0023942017
27744,,,
27787,,-9.4451255798,
27788,-1.9871873856,,1.8806453943
27824,,,
27854,,-9.7862997055,
27855,1.4281413555,,-1.9979612827
27904,,,
27921,1.5167267323,-9.4487171173,-0.7457938194
27984,,,
27988,2.1559786797,-10.8229885101,-0.9983820915
28054,,-11.6406087875,
28055,1.2844891548,,-0.9540894032
28064,,,
